TimeEstimation,TimeReal,clear_description,counting,current_trial,current_type,english_first,user_id_concent,video_really_lasted,TimeOfDay,alone,knew
0.1,1,Completely clear,Yes,2563,prosp_hl,Yes,a20NJoQygmWOahY,1252,,Yes,
5,4,Clear,No,3505,prosp_hl,Yes,vY6hSjLEH7J2v4L,4004,,Yes,
5,8,Somewhat unclear,No,740,prosp_hl,Yes,1iA7HURJkVqiWpq,8257,,Yes,
15,16,Clear,No,1699,prosp_hl,Yes,zGwuk3HzxUCOwF3,16251,,Yes,
600,32,Clear,Yes,4122,prosp_hl,Yes,9B53vc9U4YqsaMq,32000,,Yes,
10,8,Completely clear,No,2712,prosp_hl,Yes,KtYVYwNgoOqrQrb,8001,,No,
5,4,Completely clear,Yes,717,prosp_hl,Yes,M2iVq2oEu54wogN,4452,,Yes,
60,48,Very unclear,No,2593,prosp_hl,Yes,CHTUFxqy8R4Hn65,104625,,Yes,
9,12,Clear,No,3962,prosp_hl,Yes,nv851C90U9wA0rW,12002,,Yes,
10,12,Completely clear,Yes,3248,prosp_hl,Yes,np5mqyzukiwFIyA,12098,,Yes,
3,2,Completely clear,No,2044,prosp_hl,Yes,wrt8itQ2vy2uFmm,2002,,Yes,
45,64,Completely clear,No,1878,prosp_hl,Yes,HtMpL8grjrw9xhL,83814,,Yes,
4,16,Clear,Yes,1888,prosp_hl,Yes,FiTEvOAuyrIm3JY,16008,,No,
5,6,Completely clear,No,1535,prosp_hl,Yes,BzD3H1kh5NTKiBW,6251,,Yes,
2,4,Completely clear,No,2272,prosp_hl,Yes,tU4iSou5by36jLp,4971,,Yes,
10,8,Clear,No,3859,prosp_hl,No,qbIwbwWIKxpD2Qm,8251,,No,
3,6,Clear,No,923,prosp_hl,Yes,gwVcL8aWD1D1G6V,6002,,Yes,
90,64,Completely clear,No,2644,prosp_hl,Yes,e5coENTDC5hZ27n,64254,,Yes,
15,16,Completely clear,No,2486,prosp_hl,Yes,R689YN9qzSnsl3n,16251,,Yes,
12,16,Completely clear,No,3761,prosp_hl,Yes,wEarjZmRU3kwzu9,16255,,Yes,
0.5,2,Completely clear,No,4233,prosp_hl,No,rdigCyyDOo9DbZw,2251,,No,
5,6,Completely clear,No,1793,prosp_hl,Yes,GcQUPmRJuyMRL7s,6253,,Yes,
90,48,Completely clear,No,3649,prosp_hl,Yes,64RoonlfdlJhM5q,69088,,Yes,
20,8,Completely clear,No,3073,prosp_hl,Yes,CnaFMv7VIKoZ498,8364,,Yes,
6,8,Clear,No,1076,prosp_hl,Yes,7a7mYMjVMpxon3C,8253,,Yes,
25,48,Completely clear,No,1660,prosp_hl,Yes,cx4gPKvR8PrSrmh,50905,,Yes,
3,4,Clear,No,1998,prosp_hl,Yes,CpoNuxWhjbgc46z,4253,,No,
5,24,Clear,No,3909,prosp_hl,Yes,lUCZlRR36oueo7r,26964,,Yes,
60,32,Completely clear,No,886,prosp_hl,Yes,UJGdZocxzWj2F8N,32003,,No,
10,4,Completely clear,No,1701,prosp_hl,No,hEsvuY706x1uJXJ,4501,,Yes,
45,48,Completely clear,No,2581,prosp_hl,Yes,52OyRbLFtPs1qy9,48003,,No,
1,1,Clear,No,4266,prosp_hl,Yes,Sueg7E1wxWv2iIP,1252,,Yes,
5,8,Completely clear,No,3063,prosp_hl,Yes,quRpx6EjJ9lhSdU,8003,,No,
45,24,Clear,No,2458,prosp_hl,Yes,iC2O5Zuqkk0FbAJ,33139,,Yes,
20,16,Very unclear,No,2768,prosp_hl,Yes,jpiyzT4Om56bc0H,16252,,No,
30,32,Completely clear,No,3299,prosp_hl,Yes,yh7FfaIKpVIcZhj,32204,,Yes,
30,6,Completely clear,No,3995,prosp_hl,Yes,6Y0LTofbFGhm65r,6155,,Yes,
5,4,Completely clear,No,2363,prosp_hl,No,MpMResY2Nk2zjo7,4251,,Yes,
20,32,Completely clear,No,3296,prosp_hl,Yes,BaequIgNnDYGYQ1,32099,,Yes,
120,48,Clear,No,862,prosp_hl,Yes,eB9lcE49lDqYjfL,82492,,No,
2.5,3,Completely clear,No,3678,prosp_hl,Yes,NbWFhHf7mdhYXFz,3764,,No,
10,8,Very unclear,No,3265,prosp_hl,Yes,j5U59RI2KBwyCtZ,8005,,No,
1,6,Completely clear,No,1634,prosp_hl,Yes,boDsFpj11YrTx5J,6252,,Yes,
25,32,Somewhat unclear,No,2289,prosp_hl,Yes,BO7do8WUj1CJ01a,32252,,No,
47.3,32,Clear,No,3064,prosp_hl,Yes,DLhioXrnGEfjBrH,32251,,Yes,
50,64,Completely clear,No,2005,prosp_hl,Yes,pbtBxwEofplJf8E,64009,,No,
7,8,Completely clear,No,932,prosp_hl,Yes,LY2UNyCnzcDPxLS,11895,,Yes,
30,48,Clear,No,2280,prosp_hl,No,wWDiapI14RO19KG,48254,,No,
147,48,Clear,Yes,2156,prosp_hl,No,8Ngm9yUQZxvGAwY,48251,,Yes,
0.3,1,Somewhat unclear,No,1803,prosp_hl,Yes,ZR4zofFCCCFQvnq,1253,,No,
1,1,Completely clear,No,3855,prosp_hl,Yes,JDdwaInppf1Jyf0,1251,,No,
2,3,Somewhat unclear,No,3741,prosp_hl,Yes,y0G3UdNttvzLVT1,3003,,No,
20,24,Clear,No,2113,prosp_hl,No,KBoigYNKLY4ZLP0,38767,,Yes,
562,48,Clear,Yes,2841,prosp_hl,Yes,VPrCXyUt9Gvt8vu,49124,,Yes,
20,24,Completely clear,No,3733,prosp_hl,Yes,37eDnI7PJCGh0TT,57521,,Yes,
35,48,Clear,No,2393,prosp_hl,Yes,seEyijZUImHs5rb,48254,,Yes,
67,32,Very unclear,No,4110,prosp_hl,Yes,CBK4tLxRdRszWF4,32002,,No,
5,8,Somewhat unclear,No,223,prosp_hl,Yes,lrjfzHMEAKHV8gM,8255,,No,
5,12,Somewhat unclear,No,2651,prosp_hl,No,DlHNaOgbA96rbku,12253,,Yes,
50,48,Completely clear,No,2349,prosp_hl,Yes,cQYEpNZW5VqGf6e,48252,,Yes,
55,64,Completely clear,No,2783,prosp_hl,Yes,jrtTkkWdYRs3uQj,64502,,Yes,
9,8,Completely clear,No,1198,prosp_hl,No,fdnAWzaxBeDDbTW,8219,,No,
10,16,Clear,No,1070,prosp_hl,Yes,P6qwdajaYCjQqSd,16015,,Yes,
4,3,Clear,No,3801,prosp_hl,No,ZvgS9ih4VKVojPU,3251,,Yes,
5,8,Completely clear,No,3698,prosp_hl,Yes,PwYgIy759memKlI,8008,,No,
10,12,Clear,No,1513,prosp_hl,Yes,ofOdvDKvbCyVLJy,12001,,No,
10,4,Completely clear,No,1052,prosp_hl,Yes,kOfCZ0CXjFJ6TaA,4258,,Yes,
60,64,Clear,No,2834,prosp_hl,Yes,mhz3Jg3U8EP5wVe,64255,,Yes,
3,4,Clear,No,3023,prosp_hl,Yes,GCxaNbtpcxdLcEq,4001,,Yes,
10,16,Completely clear,Yes,2597,prosp_hl,Yes,WpcWZhfRo6j3L2E,34042,,Yes,
